date,R03
31/01/14,112
28/02/14,122
31/03/14,112
30/04/14,97
31/05/14,107
30/06/14,57
31/07/14,61
31/08/14,37
30/09/14,115
31/10/14,182
30/11/14,112
31/12/14,163
31/01/15,177.25
28/02/15,208
31/03/15,195
30/04/15,97
31/05/15,100
30/06/15,193
31/07/15,60
31/08/15,45
30/09/15,91
31/10/15,184
30/11/15,195
31/12/15,231
31/01/16,174
29/02/16,245
31/03/16,253
30/04/16,216
31/05/16,131
30/06/16,127
31/07/16,109
31/08/16,116
30/09/16,121
31/10/16,220
30/11/16,150
31/12/16,275
31/01/17,10
28/02/17,117
31/03/17,139
30/04/17,209
31/05/17,128
30/06/17,163
31/07/17,115
31/08/17,75
30/09/17,139
31/10/17,247
30/11/17,196
31/12/17,204
31/01/18,219
28/02/18,253
31/03/18,269
30/04/18,229
31/05/18,192
30/06/18,101
31/07/18,90
31/08/18,159
30/09/18,205
31/10/18,353
30/11/18,311
31/12/18,384
31/01/19,386
28/02/19,226
31/03/19,257
30/04/19,259
31/05/19,322
30/06/19,142
31/07/19,115
31/08/19,145
30/09/19,161
31/10/19,37
